time,x,y,z,yaw
163645081.405855000019073,-25905.936499999999796,-93184.899940000002971,0.848650000000000,1.953490000000000
163645081.506855010986328,-25906.488620000000083,-93183.531629999997676,0.792470000000000,1.955000000000000
163645081.605854988098145,-25907.046650000000227,-93182.154930000004242,0.737360000000000,1.956690000000000
163645081.706854999065399,-25907.611140000000887,-93180.770059999995283,0.682390000000000,1.958860000000000
163645081.805855005979538,-25908.182749999999942,-93179.377299999992829,0.621540000000000,1.961410000000000
163645081.905853986740112,-25908.761859999998705,-93177.976809999992838,0.550210000000000,1.964130000000000
163645082.007854014635086,-25909.348699999998644,-93176.568700000003446,0.472040000000000,1.966930000000000
163645082.107854008674622,-25909.943350000001374,-93175.153019999997923,0.393740000000000,1.969700000000000
163645082.207854002714157,-25910.545709999998508,-93173.729749999998603,0.315970000000000,1.972310000000000
163645082.307853996753693,-25911.155480000001262,-93172.298750000001746,0.235280000000000,1.974650000000000
163645082.406854003667831,-25911.772560000001249,-93170.860000000000582,0.147940000000000,1.977110000000000
163645082.507854014635086,-25912.397619999999733,-93169.413799999994808,0.052870000000000,1.980190000000000
163645082.607854008674622,-25913.031459999998333,-93167.960519999993267,-0.044510000000000,1.983580000000000
163645082.707854002714157,-25913.673969999999827,-93166.500109999993583,-0.136600000000000,1.986540000000000
163645082.807853996753693,-25914.324280000000726,-93165.032210000004852,-0.224270000000000,1.988780000000000
163645082.906854003667831,-25914.981489999998303,-93163.556440000000293,-0.316140000000000,1.990530000000000
163645083.006853014230728,-25915.645270000000892,-93162.072650000001886,-0.413550000000000,1.992200000000000
163645083.105852991342545,-25916.315460000001622,-93160.580770000000484,-0.509260000000000,1.993570000000000
163645083.206853002309799,-25916.991279999998369,-93159.080449999994016,-0.600220000000000,1.994320000000000
163645083.305853009223938,-25917.671989999998914,-93157.571519999997690,-0.691150000000000,1.994800000000000
163645083.406852990388870,-25918.356919999998354,-93156.055789999998524,-0.786870000000000,1.995660000000000
163645083.505852997303009,-25919.045070000000123,-93154.537899999995716,-0.886810000000000,1.997140000000000
163645083.606853008270264,-25919.735799999998562,-93153.020730000003823,-0.988460000000000,1.998740000000000
163645083.706853002309799,-25920.428899999998976,-93151.504650000002584,-1.092020000000000,2.000330000000000
163645083.806852996349335,-25921.124670000001061,-93149.989790000006906,-1.196660000000000,2.002230000000000
163645083.906852990388870,-25921.823250000001281,-93148.476230000000214,-1.299020000000000,2.003910000000000
163645084.006852000951767,-25922.523850000001403,-93146.963610000006156,-1.398420000000000,2.005010000000000
163645084.105852007865906,-25923.225900000001275,-93145.451650000002701,-1.496140000000000,2.005880000000000
163645084.205852001905441,-25923.929130000000441,-93143.940229999992880,-1.593130000000000,2.006600000000000
163645084.305851995944977,-25924.633529999999155,-93142.429369999998016,-1.690990000000000,2.007490000000000
163645084.406852006912231,-25925.339579999999842,-93140.919280000001891,-1.790940000000000,2.008740000000000
163645084.506852000951767,-25926.047630000000936,-93139.410130000003846,-1.893310000000000,2.010080000000000
