time,x,y,z,yaw,time,x,y,z,error_x,error_y,error_z,error_longitudinal,error_lateral,new_error_x,new_error_y,new_longitudinal_error,new_error_lateral
163645083.505853,-25919.04507,-93154.5379,-0.88681,1.99714,163645083.505852,-25919.0117188,-93154.484375,-0.958523094654,0.033351199999743,0.053524999995716,-0.071713094654,0.059927158550307,-0.019645962283651,0.033351199999743,0.053524999995716,0.034941443098708,-0.044157937101315
163645083.606853,-25919.7358,-93153.02073,-0.98846,1.99874,163645083.606852,-25919.6992188,-93152.96875,-1.05828547478,0.036581199998182,0.051980000003823,-0.06982547478,0.056827840811829,-0.028472813390493,0.036581199998182,0.051980000003823,0.032111271214721,-0.048463572751576
163645083.706853,-25920.4289,-93151.50465,-1.09202,2.00033,163645083.706852,-25920.3984375,-93151.4375,-1.16300737858,0.030462499998976,0.067150000002584,-0.07098737858,0.068794038192097,-0.026541791871667,0.030462499998976,0.067150000002585,0.048364084139843,-0.040381301131007
163645083.806853,-25921.12467,-93149.98979,-1.19666,2.00223,163645083.806852,-25921.1074219,-93149.90625,-1.26894652843,0.01724810000087,0.083540000006906,-0.07228652843,0.082547879134668,-0.021500609413735,0.01724810000087,0.083540000006906,0.068672293566345,-0.022880306521674
163645083.906853,-25921.82325,-93148.47623,-1.29902,2.00391,163645083.906852,-25921.7910156,-93148.421875,-1.37127423286,0.032234400001471,0.054355000000214,-0.07225423286,0.049029285609647,-0.0398704366804,0.032234400001471,0.054355000000214,0.035807295752988,-0.04278672879233
163645084.006852,-25922.52385,-93146.96361,-1.39842,2.00501,163645084.006852,-25922.4902344,-93146.9140625,-1.45876765251,0.033615600001212,0.049547500006156,-0.06034765251,0.041430780726666,-0.043225614266086,0.033615600001213,0.049547500006156,0.030807559950083,-0.044638098200556
163645084.105852,-25923.2259,-93145.45165,-1.49614,2.00588,163645084.105852,-25923.1855469,-93145.4140625,-1.55504798889,0.040353100001084,0.037587500002701,-0.05890798889,0.025934304385506,-0.048668313019771,0.040353100001084,0.037587500002701,0.017077374203556,-0.053601872526577
163645084.205852,-25923.92913,-93143.94023,-1.59313,2.0066,163645084.205852,-25923.8945312,-93143.890625,-1.64973020554,0.034598800000822,0.04960499999288,-0.05660020554,0.037089422193086,-0.047771411400267,0.034598800000822,0.04960499999288,0.030362967851829,-0.045970393325534
163645084.305852,-25924.63353,-93142.42937,-1.69099,2.00749,163645084.305852,-25924.5859375,-93142.390625,-1.73990833759,0.047592499999155,0.038744999998016,-0.04891833759,0.019927376036072,-0.058044127742028,0.047592499999155,0.038744999998016,0.014979930856275,-0.063255227355392
163645084.406852,-25925.33958,-93140.91928,-1.79094,2.00874,163645084.406852,-25925.2910156,-93140.8671875,-1.84218978882,0.048564400000032,0.052092500001891,-0.05124978882,0.027487250344168,-0.065700689283501,0.048564400000032,0.052092500001891,0.026581204120226,-0.064576263399234
163645084.506852,-25926.04763,-93139.41013,-1.89331,2.01008,163645084.506851,-25926.0078125,-93139.3515625,-1.95567262173,0.039817500000936,0.058567500003846,-0.06236262173,0.032247230413655,-0.063053164025873,0.039817500000936,0.058567500003846,0.03607286441588,-0.052971123563709
